token,frequency,index
#,97.1256,1
;,95.8277,1
(,95.4258,1
),95.4252,1
},90.9156,1
{,90.9142,1
include,90.535,7
,,87.8798,1
*,80.5935,1
void,72.3236,4
=,72.0929,1
const,65.7425,5
&,64.5512,1
0,62.1809,1
return,61.3398,6
int,60.7381,3
:,58.7883,1
endif,58.3704,5
if,57.1048,2
define,55.8634,6
<,55.3522,1
1,52.0347,1
>,48.8295,1
.,46.1672,1
[,45.3091,1
],45.3088,1
->,43.2325,2
==,43.1835,2
::,43.0489,2
ifndef,41.2506,6
else,40.6642,4
char,40.2556,4
!,37.8444,1
-,37.62,1
static,36.7728,6
!=,35.4269,2
+,34.1355,1
2,33.7223,1
bool,33.4819,4
++,33.4318,2
&&,32.695,2
struct,32.1592,6
for,31.436,3
namespace,29.8759,9
~,29.2479,1
class,28.0267,5
||,26.7104,2
i,26.5191,1
NULL,26.1835,4
false,21.2915,5
std,21.6406,3
4,21.5988,1
true,20.7938,4
break,20.7838,5
?,20.6971,1
sizeof,20.4055,6
ifdef,20.2566,5
while,20.0997,5
>=,18.9025,2
+=,18.8148,2
<<,18.6324,2
size,18.3964,4
typedef,18.3067,7
/,17.2047,1
private,17.0467,7
name,16.9848,4
size_t,16.0492,6
switch,15.9981,6
c,15.9651,4
